id,codigo,nome,continente,biodiversidade,economia,territorio,populacao,esportes,super_trunfo,pais_codigo
1,P1A,Estados Unidos,América do Norte,680,999,880,810,999,false,us
2,P1B,China,Ásia,860,990,920,999,940,false,cn
3,P1C,Japão,Ásia,590,960,350,600,820,false,jp
4,P1D,Alemanha,Europa,520,910,340,400,780,false,de
5,P2A,França,Europa,560,880,340,330,760,false,fr
6,P2B,Reino Unido,Europa,510,870,230,330,750,false,gb
7,P2C,Itália,Europa,620,830,290,290,650,false,it
8,P2D,Espanha,Europa,650,790,490,240,620,false,es
9,P3A,Rússia,Europa/Ásia,730,750,999,350,880,false,ru
10,P3B,Suécia,Europa,540,510,430,110,480,false,se
11,P3C,Noruega,Europa,490,490,320,60,420,false,no
12,P3D,Polônia,Europa,510,660,310,190,450,false,pl
13,P4A,Canadá,América do Norte,720,820,990,180,700,false,ca
14,P4B,México,América do Norte,840,730,580,630,550,false,mx
15,P4C,Argentina,América do Sul,760,540,690,220,610,false,ar
16,P4D,Colômbia,América do Sul,950,470,540,240,440,false,co
17,P5A,Índia,Ásia,870,860,680,998,680,false,in
18,P5B,Coreia do Sul,Ásia,520,800,100,250,770,false,kr
19,P5C,Indonésia,Ásia,940,590,570,980,380,false,id
20,P5D,Turquia,Europa/Ásia,640,680,410,420,460,false,tr
21,P6A,Nigéria,África,690,430,460,890,290,false,ng
22,P6B,Etiópia,África,740,360,630,870,350,false,et
23,P6C,África do Sul,África,710,500,530,310,420,false,za
24,P6D,Egito,África,570,600,460,550,330,false,eg
25,P7A,Austrália,Oceania,830,760,890,150,720,false,au
26,P7B,Nova Zelândia,Oceania,700,480,260,60,410,false,nz
27,P7C,Filipinas,Ásia,780,500,290,640,310,false,ph
28,P7D,Vietnã,Ásia,790,460,310,480,280,false,vn
29,P8A,Arábia Saudita,Oriente Médio,420,640,540,220,250,false,sa
30,P8B,Israel,Oriente Médio,550,560,210,110,340,false,il
31,P8C,Emirados Árabes,Oriente Médio,310,590,80,100,220,false,ae
32,P8D,Paquistão,Ásia,610,410,440,930,200,false,pk
33,P9A,Brasil,América do Sul,1000,1000,1000,1000,1000,true,br
