id,codigo,nome,continente,titulos,gols,participacoes,pontos_fifa,jogadores_estrela,super_trunfo,pais_codigo
1,G1A,Alemanha,Europa,4,226,20,1800,85,false,de
2,G1B,Itália,Europa,4,128,18,1730,80,false,it
3,G1C,França,Europa,2,120,16,1810,82,false,fr
4,G1D,Espanha,Europa,1,99,16,1770,78,false,es
5,G2A,Inglaterra,Europa,1,88,16,1720,72,false,gb-eng
6,G2B,Holanda,Europa,0,99,11,1700,75,false,nl
7,G2C,Portugal,Europa,0,74,8,1760,90,false,pt
8,G2D,Bélgica,Europa,0,58,14,1780,65,false,be
9,G3A,Argentina,América do Sul,3,145,18,1840,95,false,ar
10,G3B,Uruguai,América do Sul,2,77,14,1680,60,false,uy
11,G3C,Colômbia,América do Sul,0,26,6,1580,45,false,co
12,G3D,Chile,América do Sul,0,26,9,1545,48,false,cl
13,G4A,México,América do Norte,0,60,17,1620,50,false,mx
14,G4B,Estados Unidos,América do Norte,0,32,11,1650,30,false,us
15,G4C,Equador,América do Sul,0,8,4,1490,25,false,ec
16,G4D,Peru,América do Sul,0,19,5,1520,35,false,pe
17,G5A,Senegal,África,0,12,3,1565,42,false,sn
18,G5B,Marrocos,África,0,14,6,1600,40,false,ma
19,G5C,Nigéria,África,0,15,6,1495,30,false,ng
20,G5D,Gana,África,0,13,4,1480,25,false,gh
21,G6A,Japão,Ásia,0,36,7,1540,38,false,jp
22,G6B,Coreia do Sul,Ásia,0,24,11,1540,32,false,kr
23,G6C,Austrália,Oceania,0,14,6,1490,25,false,au
24,G6D,Irã,Ásia,0,10,6,1520,22,false,ir
25,G7A,Croácia,Europa,0,55,6,1660,62,false,hr
26,G7B,Suécia,Europa,0,66,12,1590,58,false,se
27,G7C,Polônia,Europa,0,44,9,1610,55,false,pl
28,G7D,Dinamarca,Europa,0,22,5,1600,40,false,dk
29,G8A,Suíça,Europa,0,30,12,1630,35,false,ch
30,G8B,Noruega,Europa,0,4,3,1510,30,false,no
31,G8C,Sérvia,Europa,0,12,4,1580,38,false,rs
32,G8D,Rep. Tcheca,Europa,0,22,9,1570,35,false,cz
33,G9A,Brasil,América do Sul,5,229,22,1950,100,true,br
